text,label
Realme india product ,not-Tamil
I also don't have tiktok hello and allnBut I'm using xiaomi ,Hope_speech
Thalaivare..neengale inum one plus mobile vachurukinga...adha udachurunga ,Non_hope_speech
Annee varanda thondai.. corona virus affect pannum.. neenga pathukonga. Pause koduth pasuga anne. Thondaya varanda vidadhinga ,Hope_speech
5views but 18likes ,Non_hope_speech
China phone vakathiga inu evanga ellam tiktok la video poduravagal nChina Phone vendam but China apps maittum use pannuvaga ,Non_hope_speech
Cisco webex meetings bro ,Non_hope_speech
Yaaru madan gowriyaa ban panrenu sonnaaru? Yaarukita solringa ,Non_hope_speech
Sabaash semma aarambam ,Non_hope_speech
modiji group all no 1 proker group. stupid guy. ,Non_hope_speech
காற்றில் பரவும் வாய்ப்பு ,Non_hope_speech
Ovara aatuna oru naal atanki utkarathan pokapothu china ,Non_hope_speech
Mrs.Sudha moorthy pathi pesungalen... ,Hope_speech
Bro Sony Mobile pathi video potunga bro ,Hope_speech
இருக்குற வேதனையில வேறவா... வேறவா... இறைவா.... ,Non_hope_speech
Nan ethuvum use pannala ,Non_hope_speech
love u mg bye.. bye... take care!! ,not-Tamil
Wo ka bai ,Non_hope_speech
appo china kitta irukkiradhu sivappu panama. ,Non_hope_speech
Stop china mobiles ,Non_hope_speech
Hi solluga bro ,Hope_speech
Ingatha namalum irukomnFirst war start aachuna Srilanka namalatha adipa ,Non_hope_speech
நீங்க மக்கள செய்தி சொல்லி சாகடிப்ப அதுக்கு போதும். ,Hope_speech
யப்பா போதும்யா கடந்த 6 மாசமா பொழுது விடிஞ்சு பொழுது போனா நோய் வருது வைரஸ் வருது இப்படியே கேட்டுக்கேட்டு அம்புட்டு பேரும் சைக்கோவா திரியிறோம் விட்டுடுங்கப்பா எங்களை முடிஞ்சா விழிப்புனர்வு வீடியோ போடுங்க இல்லன்னா வேற எதாவது மேட்டர் பேசுங்க கொஞ்ச நாளைக்கு கொரோனாவுக்கு லீவு கொடுங்கப்பா ,Non_hope_speech
சீனாஏன் வல்லரசுஇருக்குது அதோடஉற்பத்தித் துறைதான் காரணம் அதைவிட தலைசிறந்த பொருள்களைஇந்தியாவை உருவாக்க அதனால்சீனப் பொருளாதாரத்தைநம்மால் வீழ்த்த சீன பொருட்களை சீன செய்தி பயன்படுத்தாமல் பயனும் நம் நாட்டின்உற்பத்தித் துறையைஉலகத் தரத்திற்குஉருவாக்குவதுதான்இதற்குதகுந்ததுபல்லாயிரம் கோடி மக்கள் எங்கள்படித்தவர்கள் பலஅவர்களின் திறமையைஇங்கு உருவாக்கும் பொருட்களை உலகவிற்கலாம்அதனால்நாட்டின் பொருளாதாரம் உயரும்நாட்டு மக்கள் வாழ்வு உயரும்இதுதான் மிகச் சிறந்தவலி ,Hope_speech
Madan nee china ku support pantra maari thonuthunnnNeenga ellam itha pathi theriyanum na nnSIDDHU MOHAN nu oru you tube irukku athula detailed ah irukkum ,Non_hope_speech
Background மொக்கையா irruku ,Non_hope_speech
Mg squad ,not-Tamil
toilet paper ,not-Tamil
டேய் காத்துல பரவுதான்டா ,Non_hope_speech
Seekram one plus 8 pro review potunga romba naal waiting nee review potta than mob vanga mutiyum bro ,Non_hope_speech
Sago nalla message ,Hope_speech
Entha app um en mob la ila ,Non_hope_speech
Indiaku china nekkathu bro America mistake pannidiga 9.53 ,Hope_speech
yen mg kaga wait kooda panna mattangala? ,Hope_speech
Best video u ever made ,Hope_speech
I stopped seeing news ,not-Tamil
Bro tamilnadu college semester pathi konjam sollunga semester nadakkuma nadakkathathinking face ,Hope_speech
HiMadan please like ,Hope_speech
Bro uc turbo pathi video podunga issues pathi ,Hope_speech
Anna yo WhatsApp...add GP WhatsApp...use pannalama...vendama ,Non_hope_speech
Mudinja China va world la irunthu ban panirunga ,Non_hope_speech
Anna fornite game use pnra mari yena yena phones iruku nu slunga na support pnra phone list plz bro ,Hope_speech
China dhan next super power nu Nostradamus predict pannaar la? ,Hope_speech
Bro onga video pathutu en vitla nenga epudi niruthama pesuringa nu keka rangarolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ,Hope_speech
Anna share it alternative app sollunganna ,Non_hope_speech
Free fire enna bro ,Non_hope_speech
Bro tik tok pathila tik kik irukku bro ,Hope_speech
Neenge sonnadhu apramavudhu ushar ayirundha rombo nalla irundhuku.. ippo india attack aychi fulla aychi rombo rombo kashtama iruku ippo... irundhallu inimel avudhu. Care aydunu thank you ,Hope_speech
Voice not clear ,not-Tamil
Chingari Sarakku Nalla sarakku ,Non_hope_speech
Ithukum bodhidharmanukum enna similarity ,Non_hope_speech
Annaa ungalukku Li ziqi ya pidikumaa anaa ,Non_hope_speech
@HUMAN BEINGS ,Hope_speech
Indha weTV app kuda Chinese app ah?uninstall pannanuma? ,Non_hope_speech
நம்ம ஊரு பழமொழி கேனப்பயல் நாட்ல கிறுக்குப்பய நாட்டாமை சூப்பர் ல ஜீ உணர்ச்சிவயப்பட்ட நிலையில் இந்தியா சீனா தவறாக..... ,Hope_speech
இந்தியா தமிழீழத்தை அங்கிகரித்தால் இந்தியாமீது பக்தி .அல்லது காங்கிரஸ் நேரு குடும்பத்தை அடியோடு அழிக்க வேண்டும். ,Hope_speech
6 - 8 pm bro ,not-Tamil
You're a biggest loser ,not-Tamil
Sir trronet app vera eruka ,Hope_speech
Spr Ithan sariyana valli ,Hope_speech
MG squad from sl ,Hope_speech
Oppo f11pro review podunga bro ,Non_hope_speech
Kedi ku avalo scene lam illa avanuku China eppo appu vaika pogudho rolling on the floor laughing rolling on the floor laughing ,Hope_speech
Enta shareit thavira vera app ethum ila... ,Non_hope_speech
All animals kudatha sapamm pro ,Hope_speech
Pubg ku badhil ah free fire try panlaamey bro ,Hope_speech
... நோய் தான வந்திடுது.... நண்பரே... கண்ணுக்கு தெரிந்தால் நம்ம பயலுக கொன்னே போட்ருவாங்க.... ,Non_hope_speech
@jenith music making j pannren yanakun panuga ,Hope_speech
PUBG is korean right? ,Non_hope_speech
Pubg Chinese app illa ,Non_hope_speech
Broo videos la super broo...Semaster news mattu sollunga brooo...semaster iruka? & Illaiya bro? ,Hope_speech
Hi bro helo appku alternative sollunga ,Non_hope_speech
Rx100 pathi pesuga bro....mg... ,Hope_speech
Sir 8.00 pm ku upload Pannu ga ,Hope_speech
Opera mini use pannalama ,Non_hope_speech
MG squad ,not-Tamil
Hello everyone ellarum safe irunga ,Hope_speech
Hi madan gowri ,not-Tamil
@keerthi dilli true I see get updates from madan Anna only !keep going Anna ,not-Tamil
Idhula dei pubg Chinese app nu yaru da sonna venna ,Non_hope_speech
Thaaivaaa neenga sonnathu Tiktok we hats offf ,Hope_speech
இதுக்கே ஆச்சரியபட்டா சீன புத்தாண்டு முடியவில்லை முடிவிற்கு பார்க்கலாம் உலகம் இதிலிருந்து மீண்டெழுமா என்று??? ,Hope_speech
puriyada pudir of war at corana period ,Non_hope_speech
6 pm bro ,not-Tamil
Neenga sonna game en mobile luku support aagala en mobile oppo a5 2020 brother ,Non_hope_speech
600 illa bro 775 ,Hope_speech
Kalisee va kutinu vandhu dragons vachi savadichula ,Non_hope_speech
Title grammar mistake ,not-Tamil
Nice Tik Tok madiri Jik jok create pannunga IG ... rolling on the floor laughing seekrammm ...rolling on the floor laughing Chinaaa tholae thanga mudiyalae epaaaa ,Non_hope_speech
தரமான கருத்து bronnஉளவு பார்க்கும் app நீக்க வேண்டும்.nnஆரம் Media Tamil ,Non_hope_speech
@தமிழ் விஞ்ஞானிகள் Bro என்னோட channeluku subscribe பண்ணுங்க please bro தமிழனுக்கு தமிழன் support பன்னாட எப்படி so pleasw subscribe panuinga bro ,Hope_speech
Puli varuthu kadhai ,Hope_speech
Anna Africa oda ancient language tamil nu solluranga ,Non_hope_speech
Bro besty camera use pannalama ,Non_hope_speech
eva yevanda komali palaiya news ah solitu erukka. ,Hope_speech
Bro 8 o clock alarm clock podunga ,Hope_speech
Anna 8pm o 8 ,Hope_speech
தல ஜாக்மா கடைய திறந்து இருகான் அரசியல் ,Non_hope_speech
Nalla velakaranai dhan....thirudan sollierukangalo....thinking face #tamiltech ,Non_hope_speech
China kaaran Maasa Maasam padam release panra maari ,Non_hope_speech
VN editing app semmaaaa ,Hope_speech
S sister ,Hope_speech
Mg squad ,not-Tamil
வணக்கம் நண்பர்களே...nஉங்கள் ஆதரை தாருங்கள்... ,Hope_speech
நண்பா...நம் வீடியோகளை பாருங்க...உங்களுக்கு பிடிக்கும்...பிடித்தால் ஆதரவு தாருங்கள் friends...50 subs அடைய உதவுங்கள் mg squad ,Hope_speech
Ipa varakum cm scanner tha use pannitu irunthannIni malnAdobe scanner use pannalam nu irukan ,Hope_speech
Thalaiva epo neenga intha save journalism pathi pesuvinga ,Hope_speech
Bro neegha sonna eantha app um en kitta ialla ,Non_hope_speech
Unmaiya research la panni muliyama da Varda unmaila indha virusku human to human transmission ilaya apadi andha newspaper la podaranga reporters nala conforma theriyuma bla bla bla!!! ,Hope_speech
உன்ன மாரி வேசி ஊடகம் இருந்தா எப்படி ஜெய்கமுடியும் ,Non_hope_speech
அற்பமான விஷயங்களுக்கு முக்கியத்துவம் கொடுக்கும் நம் மக்கள் ,Non_hope_speech
Bro mx share iruke bro ,Hope_speech
ஒன்று உண்மையை சொல் ,Hope_speech
Madan Gowri kingcopra ,not-Tamil
Annae Exam Update Sollunga ,Hope_speech
I am waiting ,Hope_speech
#TTK nsuper bro iam support t shirt super bronHello app tiktok bro ,Hope_speech
Freedom 251 ? ,Non_hope_speech
eppadi ithu vanthadu ,Hope_speech
Yedhavena sapdalamnu parakradhu ,Non_hope_speech
எதுக்கும் அச்ச கூடது... உலகத்துல எவன் போர் வந்தாலும் எதிர்க்க தயாராக இந்தியன்.. செய் செத்து மடி அப்படி கொள்கை உள்ளம் களத்துல சந்திப்பம் ,Hope_speech
Madan oru Chinese Kai Kulirolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ,Non_hope_speech
கிடைக்கவில்லை ப்ரோ ,Non_hope_speech
Mg squad from Coimbatore bro partying face ,Hope_speech
Bro obara mini app ,not-Tamil
கனடாவிலும் இரண்டு பேருக்கு விட்டது ,Non_hope_speech
2020 முடிவதற்குள் எத்தனை நோய்கள் எத்தனை எதிரிகளை சந்திக்க வேண்டி என தெரியவில்லை.... ,Non_hope_speech
Adangapaaaa.....entha cmdylaaa....seii....poi vijay tv laa anchors aa joint pannuu ....anthamathri vtiya ethachum vella paruu ,Non_hope_speech
அதுலாம் சரி...எல்லை ல பெரிய அளவில் பிரச்சினை இருக்கு...இந்திய இறையாண்மை பாதுகாக்க வேண்டும்.nசீனா apps uninstalled பண்ணுனா ஒன்னும் ஆகாது னு எப்டி சொல்லலாம். Of course சீனா போன் நெறய use இருக்கு...கொஞ்ச கொஞ்சமா மாற முடியும்..Long term la கிழிக்கனும் னு சொல்ற...apps ல ஆரமிக்குறோம் ,Non_hope_speech
Matram ondre marathathu. Evalavu days ku America top ah erukum. Epo ellanalum enaikavathu oru nal America down agum. ,Non_hope_speech
Ithai than srilanka um pannum ungalukku ,Non_hope_speech
இனிய பிறந்த நாள் வாழ்த்துக்கள் ,Hope_speech
Tik tok speech ,not-Tamil
@Ganesh Rj adhu china app illa bro ,Non_hope_speech
today Dhoni days..... ,Non_hope_speech
Tik tok ஒளிஞ்சது ஒளிஞதாவே இருக்கட்டும் மது பழக்கத்துக்கு அடிமையானவர்க ளை tik tok கு அடிமையானவர்கள் அதிகமாக உள்ளனர் ,Hope_speech
Bro Viva video alter native app Power direct app indian app ,Hope_speech
Bro gandam naa? ,Non_hope_speech
Anna jeyaraj and bennix avangala pathi marupadium oru video podunga ,Non_hope_speech
Yellarum kidney readya vecchikonga ,Hope_speech
That is mg ,not-Tamil
Ovvorolling on the floor laughing rolling on the floor laughing rolling on the floor laughing nDai pppa ne vra level da sirippu thaangalA ,Non_hope_speech
இந்தியாவை ராணுவத்தில் சீனா கூடுதல் பலம் பெற்றிருக்கிறது தெரிகிறது. ஆனாலும் போர் வந்தால் இந்தியா ராணுவத்திற்கு மோடி ,Non_hope_speech
உங்கள் சுதந்திரத்தை பறிக்க வழி நேரத்தில் உங்களை வேண்டுமானலும் செய்யலாம் கொரானவதும் மயிராவதும் ,Non_hope_speech
Hi sabitha thugaliyaa ,Hope_speech
Bro apk mod apps da install pannurathu safe pa ,Hope_speech
Bro B612 app use pannalama..... Andn snaptube app use pannala manAnd Facebook ,Non_hope_speech
இந்தியா சீனாவை வென்று நம் நாட்டின் பரப்பளவை அதிகரிக்க போகிரது ,Hope_speech
6.30 pm ok bro nermal ,not-Tamil
1967 por patri sollavillai ,Non_hope_speech
I can't uninstall pubg ,Non_hope_speech
நீங்க சொன்ன ஆப்லாம் இதுவரை பயன்படுத்தியதே இல்லை. வாழ்நாளில் 90 % இந்திய பொருட்களை பயன்படுத்துகிறேன். ,Non_hope_speech
Mudalla ithai pesaratha niruthittu GUJARAT BIG BUSINEES MAN CHINA VIL VAITIRUKKUM BUSINESS TIE UP CANCEL PANNARATHA PATRI PESU ,Hope_speech
Vaayai moodi pesavum padam Mari dha pannanum ,Non_hope_speech
@Varnajalam Mini Crafts aama akka ,Non_hope_speech
Ennapa itha virus thola thanga mudiyala ,Non_hope_speech
May be irukalem ,Non_hope_speech
China kaaran நம்ம்மை hack பன்னிருவன் டு நம்ம இத தடை செய்ய வேண்டாம். மாரி கொடிய சைத்தான் கள்கிட்ட மக்கள காப்பாத்த ணும்னு தடை செய்யணும் ,Non_hope_speech
Anna pls do madurai home vlog ,Hope_speech
Bro one plus 7 pro book panniyachu enna pannuven reply pannuga ,Hope_speech
இதுக்கு நம்ம அரசாங்கம் ஒத்துவருமா ஜி ,Non_hope_speech
Na erukka bro ,Hope_speech
சீனாதான் வெல்வான் ஈழத்தமிழனை இந்தியா முதுகில் குத்தியநாடு இந்தியா அழிந்தால் மிக்கசந்தோசம் ,Non_hope_speech
Same concept ah again and again pesura mathiri iruku ,Non_hope_speech
நாட்டுக்கு எமன் இந்தியன் தாண்டி மவனே டேய் இது1962இல்ல 2020 மக்கள் அனைவரும் கூடி வர கூடிய இந்தியா ஓடிரு....... ,Hope_speech
Neeanga eppa video pootalum naan paaka redy bro u r my inspiration person bro enaku theriyadha nerya vishyathaa unga video la paathu lern pandraaan puringkaa enaku useful ha iracku thank u brow ,Hope_speech
புலி பதுங்குவது பாய்வதற்கு ,Hope_speech
Bro soon we will win entire world ,Non_hope_speech
Alternative options Ella bro mobileku nChines mobile cheep and besta eruku nSamsung vangalamnu patha price athikama eruku ,Hope_speech
AMA bro pannalam ,Hope_speech
8 pm kulla video upload panunga anna ,Hope_speech
Apdiye nengalum china mobile review panratha korachukonga bro ,Non_hope_speech
பாம்புல வெசந்தா விசமி இல்லை. நன்பா ,Hope_speech
Helo appku matru ena app iruku bro Whatsapp status ku use agura mari ,Hope_speech
first viewnfirst view ,Non_hope_speech
Apdina corona tholai mudinjuruma bro ,Hope_speech
Dai micromax ellathukkum ne dhan karanama ,Non_hope_speech
Neenga konjam porumaya sollungha. Bcz next next nu sollu pothu previous maranthuduthu. So Pls ,Hope_speech
நண்பா நம்ம வீடியோவும் பாருங்க கண்டிப்பா பிடிக்கும் பிடித்தால் support பண்ணுங்க ,Hope_speech
இஸ்லாம் மார்க்கத்தில் உணவில் ஹலால் ஹராம் குர்ஆனிலும் ஸுன்னாவிலும் கூறப்பட்டுள்ளது... ,Non_hope_speech
Dei chappa mooka *tha onakku avlotha limit uh! ,Non_hope_speech
Vaedikka parkka vendithan ,Non_hope_speech
அப்துல் கலாம் ஏவு கணை வச்சு எத்தனை பே ரை முடியும் பைசா பணம் டப்பு பொரு லாதாரம் வேணும் அம்பானிட்டயும் அதாணிட்டயும் கஜானாவை காலி பண்ணி கொடுத்தா ச்சே செய்ய முடியும் வாயால வடை சுட முடியும் ,Hope_speech
Zoom app - GOOGLE MEET irrukku bro ,Hope_speech
Anna appo Apple mobile ,Hope_speech
Bro..siddha medicine pathi oru video podunga..MG ,Hope_speech
Bro negga pesama news channel aha mariruinga ,Non_hope_speech
Anna oru liku pls ,Hope_speech
Haha f4 korean drama ,Hope_speech
Im using nothing in tat ,Hope_speech
Parava illiya uncle nibba phn chip pathi lam pesuraru neengalam fb la poi nice boobs nu comment mattum than pannuveenga nu nenachen ,Non_hope_speech
KineMaster vida viva video periya app ahh ,Non_hope_speech
Mg squad chennai ,not-Tamil
Bro nega chain podu ga ..u'll look rugedet ,Hope_speech
Plz God save China ,not-Tamil
Helo app alternative podunga bro ,Hope_speech
China kaare summave irukka maatran ,Non_hope_speech
Bro new medicine enamo kandu pudichi Irukanga nu sonaga... Hyderabad la.. Atha pathi solunga bro!!! ,Hope_speech
Oru 7 pm ku ok na video podalam bro ok ila na vena ,Hope_speech
Vera level bro neega ,Hope_speech
Aiyoo bayama iruke ,Non_hope_speech
Bro ambani nenaicha jio phone update pannlama bro because avanga kitta neriya investment vanthu irruku bro sollunga bro? ,Non_hope_speech
Oru manusan uyira kuduthu video poduran neenga innum pubg vilayaadureengala ,Non_hope_speech
Bro status எடுக்க சிறந்த app எது ,Non_hope_speech
Tik tak matum uninstall remove panuna pothu ,Non_hope_speech
Bro one mistake ,not-Tamil
Podi aatitu vandhuta ,Non_hope_speech
Appo infinix bro?? ,Non_hope_speech
7 nukku mala pota correct ta irukkum ,Hope_speech
China karan paakurathelam thimbanunga pola ,Non_hope_speech
Bro neega yapavena post pannuga nagapapom aana 8 clock best ,Hope_speech
Ithula irunthu yena theriyuthuna.........China vanthu coronavukku medicine kandupuduchu.........yella country um alaya vidaporanga.............. ,Hope_speech
Chingaari work aaga maattudhu bro ,Non_hope_speech
Bro yanakku SHAREit varuthu ,Hope_speech
Ennuma china soldradha nambhitu erukinga thinking face ,Hope_speech
Vegetarian is safe ,not-Tamil
நாங்க இருக்கிறோம் வாய பொத்து டிக் டாக் இல்லாம செத்துடுவியா ,Non_hope_speech
Bro... SAE BAJA pathi oru video podunga bro ,Non_hope_speech
Anna Samsung m31 full review panunga pls ,Non_hope_speech
Hi Bro .... ,not-Tamil
En mobile safe ,Hope_speech
அதற்காக தேவை இல்லாத உணவுகளை உண்ண கூடாது கூறுவார்கள் இப்போ பார்த்தீர்களா நிகழ்ந்தது !!! நாடு நாடு கண்டம் கண்டம் குறி வச்சு தாக்குது Corona வைரஸ் so sad ,Hope_speech
Naan la namba ooru shop la thaa vaangurannn ,Non_hope_speech
@Robert B Weide ,Non_hope_speech
@muthu sakthivel vanthutan kora solla na rendume channel paape unaku pidikalana paakathe ,Hope_speech
Om Sai Ram nChannel ,Hope_speech
Mg Marupadium first la iruntha ???namma valkai etha nokki poidu irukkunu therila yethinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face ,Hope_speech
@Manobala Manobala ,Hope_speech
சைனிஸ் தயாரிப்பு இல்லாத போன் எதுவும் இல்லை. அப்படி ரோசம் அதிகமாக இருந்தால் ஒவ்வொருத்தரும் ஃபோனை தூக்கி எறியுங்கள்.எதுக்கு நமக்கு மானம் ரோசம்... ,Non_hope_speech
Madan thambi 8 pm ,Hope_speech
Appa nama develop agaram ,Non_hope_speech
கண்டிப்பாக இல்லாமல் இருக்க முடியும்! கூடயேவா பிறந்தோம்! அதுக்கு நிகராக நம்ம நாட்டில் உருவாக்கி பயன் படுத்தலாம்! ,Hope_speech
மொதல்ல இந்தியால கருப்பு பணத்த எடுக்கணும் ,Hope_speech
1st view anna ,Hope_speech
Thank you anna ,Hope_speech
என்னதான சீன ஆப்-பை டெலிட் செய்தாலும் ,Hope_speech
இலங்கையையும் பாதிக்கும்.நம்மை அல்ல ,Hope_speech
Koncham slow aa solluka sathiyama vilankala ,Non_hope_speech
MG Squad hugging face ,not-Tamil
Haha ha relax bro ,Non_hope_speech
Love u MG ,Hope_speech
Plz neengalum general news madhiri information kudukadhinga ,Hope_speech
Jio jio Jio ,not-Tamil
Fortnite game சைனிஸ் கம்பனி பட்டனர்சிப் இருக்குன்னு சொல்றாங்க உண்மையாண்னு சொல்லுங்க ,Non_hope_speech
Hii bro neenga gunda aagitinga ,Hope_speech
Thala I like ur opinion ,Hope_speech
மக்களே சேனலுக்கு ஆதரவு கொடுங்கள் வீடியோவையும் பாருங்க hugging face hugging face பிடித்திருந்தால் SUBSCRIBE செய்துகொள்ளுங்கள் ,Hope_speech
Pls talk abt jayashree ,Hope_speech
innaiku vdo varalanu..one year old PABLO ESCOBAR video paaka vendiyatha pochu..daily oru story ketu ketu palahi pochu ,Non_hope_speech
அப்டினா first tiktok uninstall pannanum avanga ,Non_hope_speech
Dai pannada oru visaytha enda oothe perusakura ,Non_hope_speech
Pakistan be like ,not-Tamil
America side tha poganum ,Hope_speech
epudi namaku antha virus vanthiruchunu find panurathu anna ,Hope_speech
You did a mistake in 9 ,Non_hope_speech
Yeah bro air la corona spread aagudu bcz kerala la air vandhu tomba kammi so avanga kattu paduthirkalam but rlla wdathalayum air adhigam so vaaipu iruku adunaala tha namma tamilnadu la adhigama paravudu nu nenaikuran... bcz past 3 or 4 weeks romba bayangarama cases pogudu... ,Non_hope_speech
Anna ... Pubg alternative game sonniga ... Name clear ah kekala .. name sollu anna ,Non_hope_speech
Free fire china illabro. ,Non_hope_speech
8oclock video post pannunga nalla irukkum ,Hope_speech
WhatsApp aap சொல்லவே இல்ல ,Non_hope_speech
Bro pubg ku alternative app free fire irukku bro ,Hope_speech
Bro PUBG CHINESE APP illai la bro ,Non_hope_speech
சைனா அமெரிக்கா பிஸ்னஸ் பார்க்கும் இந்தியா ரஷ்யா ஃப்ரீயா கொடுக்கும் ,Hope_speech
8.30 ku video post pannunga bronnPlease hit the like button ,Hope_speech
Gema pathi vidoe poduga bro ,Non_hope_speech
Pupg Ku alternative FREE FIRE ,Hope_speech
Bro video LA supr solla VA illa ,Hope_speech
Hi madan gowri nOne information friendnஇந்த நேரத்திலா நாட்டுமக்கள் நோய்யால் அவதியான நிலையில்nஇந்தியா நாட்டுக்காகவும் தமிழ்நாட்டுக்காகவும் தலைநகர் சென்னைகாகவும் போராட்டங்களும் தியாகத்தையும் செய்து தலைநகரை மீட்டுதந்த தலைவர்nதமிழக தந்தை சிலம்புச்செல்வர்nடாக்டர் ஜயா ம.பொ.சி அவர்களை வீடியோ பேசுங்கள் 26 ,Non_hope_speech
Sub...... s pannunga ,Hope_speech
இப்போ நீங்க பேசுறதே அமெரிக்கா youtube ல tan... உலகத்துல அதிகமா யு tube ,Non_hope_speech
vilthave vilthathu namma aalugathan lancham ulalnu kolla adikuranvo avanuga porkappal pirangi athu ithunu vangi kumikuraga ,Non_hope_speech
